Correctness Score,Concept Coverage,Reasoning Score,Missing Concepts,Engagement Score,Confidence Score,Hesitation Score,Eye Contact Score,Difficulty,Correct Streak,Wrong Streak,Policy
79,70,84,1,0.724,0.74,0.343,0.651,Medium,0,1,Ask Follow-up Question
79,70,81,2,0.711,0.676,0.419,0.672,Medium,0,1,Ask Follow-up Question
63,53,47,5,0.612,0.419,0.627,0.494,Medium,2,0,Maintain Difficulty
74,71,82,2,0.621,0.594,0.339,0.664,Medium,1,0,Ask Follow-up Question
93,90,91,1,0.865,0.848,0.135,0.891,Hard,0,0,Switch Topic
80,71,87,3,0.827,0.669,0.249,0.667,Medium,1,0,Ask Follow-up Question
78,73,84,2,0.714,0.681,0.282,0.714,Medium,0,2,Ask Follow-up Question
80,73,86,1,0.764,0.75,0.259,0.691,Medium,1,0,Ask Follow-up Question
86,83,85,2,0.745,0.773,0.253,0.752,Medium,0,1,Ask Application Question
52,40,46,8,0.387,0.38,0.731,0.296,Easy,1,0,Probe Missing Concept
65,76,64,1,0.568,0.659,0.469,0.709,Easy,1,0,Maintain Difficulty
28,30,23,8,0.227,0.231,0.909,0.2,Medium,0,3,Reduce Difficulty
67,67,73,6,0.57,0.655,0.402,0.617,Medium,1,0,Probe Missing Concept
62,74,81,1,0.566,0.652,0.291,0.706,Hard,1,0,Maintain Difficulty
60,47,55,2,0.497,0.549,0.568,0.413,Hard,0,1,Maintain Difficulty
72,66,78,2,0.525,0.565,0.515,0.567,Medium,1,0,Ask Follow-up Question
95,94,93,0,0.898,0.879,0.072,0.904,Easy,0,0,Increase Difficulty
93,91,91,1,0.862,0.849,0.123,0.868,Easy,0,0,Increase Difficulty
86,84,89,1,0.752,0.797,0.234,0.871,Medium,1,0,Ask Application Question
85,81,87,1,0.749,0.734,0.287,0.8,Medium,3,0,Ask Application Question
83,83,83,1,0.729,0.665,0.233,0.71,Medium,1,0,Ask Application Question
96,93,93,0,0.91,0.89,0.086,0.92,Easy,0,0,Increase Difficulty
73,66,80,2,0.554,0.598,0.453,0.542,Medium,0,1,Ask Follow-up Question
42,50,80,3,0.397,0.445,0.279,0.479,Hard,0,1,Maintain Difficulty
30,37,39,6,0.267,0.317,0.651,0.319,Hard,0,4,Reduce Difficulty
97,91,94,0,0.941,0.899,0.112,0.897,Easy,0,0,Increase Difficulty
77,74,81,2,0.665,0.678,0.35,0.752,Easy,1,0,Ask Follow-up Question
94,93,93,0,0.896,0.888,0.091,0.919,Hard,0,0,Switch Topic
94,90,92,1,0.891,0.871,0.149,0.894,Hard,0,0,Switch Topic
77,85,75,1,0.716,0.722,0.352,0.81,Hard,0,2,Maintain Difficulty
77,69,83,2,0.709,0.652,0.364,0.613,Easy,2,0,Ask Follow-up Question
80,74,87,1,0.777,0.768,0.233,0.723,Easy,1,0,Ask Follow-up Question
34,33,57,4,0.277,0.339,0.523,0.29,Easy,0,2,Maintain Difficulty
19,37,19,8,0.1,0.151,0.96,0.314,Hard,1,0,Reduce Difficulty
88,77,64,2,0.81,0.731,0.473,0.711,Medium,3,0,Maintain Difficulty
58,53,63,3,0.529,0.497,0.471,0.492,Easy,1,0,Maintain Difficulty
84,85,87,1,0.736,0.746,0.203,0.809,Medium,1,0,Ask Application Question
93,91,91,1,0.858,0.843,0.125,0.882,Easy,0,0,Increase Difficulty
97,96,97,0,0.971,0.956,0.031,0.949,Hard,0,0,Switch Topic
37,39,34,5,0.335,0.252,0.755,0.363,Medium,2,0,Maintain Difficulty
77,69,74,2,0.725,0.652,0.366,0.642,Hard,0,1,Maintain Difficulty
76,66,81,2,0.683,0.603,0.448,0.574,Easy,1,0,Ask Follow-up Question
32,36,23,7,0.293,0.265,0.906,0.296,Hard,0,3,Reduce Difficulty
39,47,37,5,0.401,0.428,0.699,0.465,Medium,0,4,Reduce Difficulty
80,78,95,1,0.754,0.753,0.144,0.74,Easy,2,0,Maintain Difficulty
74,72,84,2,0.634,0.63,0.286,0.656,Easy,1,0,Ask Follow-up Question
53,53,74,7,0.414,0.511,0.561,0.641,Medium,0,2,Probe Missing Concept
69,63,77,3,0.495,0.427,0.545,0.485,Medium,1,0,Ask Follow-up Question
96,90,92,0,0.882,0.908,0.141,0.876,Easy,0,0,Increase Difficulty
78,70,86,1,0.738,0.707,0.266,0.602,Easy,1,0,Ask Follow-up Question
