Model,Class,Precision,Recall,F1-Score,Support
random_forest,0,0.9964539007092199,0.9991111111111111,0.9977807367953839,2250.0
random_forest,1,0.9916151809355693,0.9986666666666667,0.9951284322409212,2250.0
random_forest,2,1.0,1.0,1.0,2250.0
random_forest,3,0.9910071942446043,0.9795555555555555,0.9852481001341081,2250.0
random_forest,4,0.9933065595716198,0.9893333333333333,0.991315965263861,2250.0
random_forest,5,0.993813521873619,0.9995555555555555,0.9966762685575006,2250.0
random_forest,6,1.0,1.0,1.0,1500.0
random_forest,macro avg,0.9951709081906618,0.9951746031746032,0.9951642147131106,15000.0
random_forest,weighted avg,0.9949294536001949,0.9949333333333333,0.9949224254487662,15000.0
xgboost,0,0.9951327433628319,0.9995555555555555,0.9973392461197339,2250.0
xgboost,1,0.9894319682959049,0.9986666666666667,0.9940278699402787,2250.0
xgboost,2,0.9995557529986673,1.0,0.9997778271495223,2250.0
xgboost,3,0.99039780521262,0.9626666666666667,0.9763353617308993,2250.0
xgboost,4,0.9823477493380406,0.9893333333333333,0.9858281665190434,2250.0
xgboost,5,0.9924944812362031,0.9991111111111111,0.9957918050941307,2250.0
xgboost,6,1.0,1.0,1.0,1500.0
xgboost,macro avg,0.9927657857777525,0.9927619047619048,0.9927286109362298,15000.0
xgboost,weighted avg,0.9924040750666403,0.9924,0.9923650414830412,15000.0
catboost,0,0.978965819456617,0.9928888888888889,0.9858781994704324,2250.0
catboost,1,0.9430139299282397,0.9928888888888889,0.967308941329292,2250.0
catboost,2,0.9960159362549801,1.0,0.998003992015968,2250.0
catboost,3,0.954898157129001,0.8751111111111111,0.9132653061224489,2250.0
catboost,4,0.9485791610284168,0.9346666666666666,0.941571524513096,2250.0
catboost,5,0.9683571738188123,0.9928888888888889,0.9804696071977178,2250.0
catboost,6,0.9973404255319149,1.0,0.9986684420772304,1500.0
catboost,macro avg,0.9695958004497116,0.9697777777777777,0.969309430389455,15000.0
catboost,weighted avg,0.9682085691956014,0.9682666666666667,0.9678414798050663,15000.0
tabpfn_5000,0,0.9995557529986673,1.0,0.9997778271495223,2250.0
tabpfn_5000,1,1.0,1.0,1.0,2250.0
tabpfn_5000,2,1.0,1.0,1.0,2250.0
tabpfn_5000,3,0.9991111111111111,0.9991111111111111,0.9991111111111111,2250.0
tabpfn_5000,4,1.0,0.9991111111111111,0.9995553579368608,2250.0
tabpfn_5000,5,0.9995557529986673,1.0,0.9997778271495223,2250.0
tabpfn_5000,6,1.0,1.0,1.0,1500.0
tabpfn_5000,macro avg,0.9997460881583493,0.9997460317460317,0.9997460176210023,15000.0
tabpfn_5000,weighted avg,0.9997333925662669,0.9997333333333334,0.9997333185020525,15000.0
tabpfn_10000,0,0.9995557529986673,1.0,0.9997778271495223,2250.0
tabpfn_10000,1,1.0,1.0,1.0,2250.0
tabpfn_10000,2,1.0,1.0,1.0,2250.0
tabpfn_10000,3,0.9991111111111111,0.9991111111111111,0.9991111111111111,2250.0
tabpfn_10000,4,0.9995553579368608,0.9991111111111111,0.9993331851522561,2250.0
tabpfn_10000,5,1.0,1.0,1.0,2250.0
tabpfn_10000,6,1.0,1.0,1.0,1500.0
tabpfn_10000,macro avg,0.9997460317209484,0.9997460317460317,0.9997460176304127,15000.0
tabpfn_10000,weighted avg,0.999733333306996,0.9997333333333334,0.9997333185119334,15000.0
tabpfn_20000,0,1.0,1.0,1.0,2250.0
tabpfn_20000,1,1.0,1.0,1.0,2250.0
tabpfn_20000,2,1.0,1.0,1.0,2250.0
tabpfn_20000,3,0.9995557529986673,1.0,0.9997778271495223,2250.0
tabpfn_20000,4,1.0,0.9995555555555555,0.9997777283840854,2250.0
tabpfn_20000,5,1.0,1.0,1.0,2250.0
tabpfn_20000,6,1.0,1.0,1.0,1500.0
tabpfn_20000,macro avg,0.9999365361426668,0.9999365079365079,0.9999365079333725,15000.0
tabpfn_20000,weighted avg,0.9999333629498001,0.9999333333333333,0.9999333333300412,15000.0
